level	sample	verdict	reference_compile_rc	selfhost_compile_rc	reference_pre_bc_count	selfhost_pre_bc_count	reference_opt_bc_count	selfhost_opt_bc_count	reference_pre_verify	selfhost_pre_verify	reference_opt_verify	selfhost_opt_verify	shared_functions	identical_functions	one_side_functions	reference_pre_bc_sha256	selfhost_pre_bc_sha256	reference_opt_bc_sha256	selfhost_opt_bc_sha256	reference_first_error	selfhost_first_error	reference_verify_error	selfhost_verify_error	body_diff_functions	reference_only_functions	selfhost_only_functions	first_bc_difference
Os	11_str_concat	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	17	3	b877ea7ec9fe6e16985c774eaa074682d542c5dd8370ca5126d9693122e5fa8b	79f96d96325d78d01136d72fe2bcb836b7cc9da4a72445839e3ef64b3ebbcfbd	1536f75f08e5a9f40a32a6922f39d193890f019c5cda889d60512090095cb92d	3a885a2a56053f40fd0882e21d32be16f03fd61ed04d180d6f0ac16db4790188	<none>	<none>	<none>	<none>	1	0	3	"BODY_DIFF:""0_for_keeping_some_types"""
Os	120_ctxexpr_iflet_embedded	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	16	0	c558a0982692812f3dd0ebe97c9a02ba51062f2d774616f9bf296ab74adb0dbb	e0aa05c73a85e76d6f1b72bcdddc01a066207d05d93054c6d29eaa253d21c6e7	4a88a64424642af610e47646c119dfe7ab8ccd6b35a857e4037ab1a27989eb08	1704d0ba7f5f8a7402ea75dafcefaa6e61bf4bee4c2029329d5a27aa92bb2720	<none>	<none>	<none>	<none>	2	0	0	"BODY_DIFF:""0_for_keeping_some_types"""
Os	121_generic_body_lambda	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	16	3	83584497a6eed6255af43ee695dc2b34914423b142c40539cbfdc787ea4b0b10	8aa6ee560998b0cd5fca45b5b46b1a881c5bbf407bd07ea9834652c57709bb60	8785460cda131cf9b8eedba185c233e88abe5072332c9a6bab137e7b43d6736a	60b3a42eaa083865f6c63a6b272b9d664025fde8511970e6955b6b7780ecdb9f	<none>	<none>	<none>	<none>	2	0	3	"BODY_DIFF:""0_for_keeping_some_types"""
Os	122_generic_body_lambda_capture	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	17	3	a50507872c5df826ff0cde97ca73f4d043506ea65262e6f4b4e89903ee8b0e56	bb415f8c2d3453fb10a53cedbd361dbfdd80ac3408a04403033f130884ced06b	8d22a80428623d884fb59599bb4c8b209bc8986e20c478289304eb4fe73b3907	edc097b476da816264082d74468e3056029f32265386f84ba0df676aba99dc49	<none>	<none>	<none>	<none>	1	0	3	"BODY_DIFF:""_CN7default6<main>Hv"""
Os	123_generic_body_lambda_tuple_last	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	16	3	5e4d45c68008e3bb7b9942e9a916534cec7dd1fcf49a8287aaf59778fefbccef	ff54d022bd5d6c4d6c2ae0f248a91d19c4d19d1acb6ff5a954d4fe7943cf6400	d31b0f57a6528a4ed1ed082a296a3a7de988bfa1b5d01bf27bfebd4b7a849d24	ae50f9833cbeb3b96f20cf7ddb39c8ab3a3b641e7cbce0812b7122a0641fc1fa	<none>	<none>	<none>	<none>	2	0	3	"BODY_DIFF:""0_for_keeping_some_types"""
Os	124_generic_body_lambda_struct_last	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	16	3	f78642ec47ee855c33a4294e1df49e1c948647c5ba02d622a68f67bcc9902d12	84e86c95c3e1508e42152c8f88739aea4268b3a002f5bda281da94e6836d9e0f	1554b57e8ef93b62d4e067c167cb6528e067290936b41bc3b6c5c7927488b0e5	79b07946f97f631550f1692028cce3d0720066a570a15faebf3874ca1cd658fc	<none>	<none>	<none>	<none>	2	0	3	"BODY_DIFF:""0_for_keeping_some_types"""
Os	125_generic_body_lambda_higher_order	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	17	6	59e92b5d914b7ccc26a3b7af944c944c06a938c42d0e13d8ec32269a5d2ec673	a50c0b4e7acb89cddc3a63f77738d94a1591fdee48806556e2cc035092ada582	c4c166e5a407930d150aed5333ff2fd10d2374b532d896d03b6f9ce12aaa8b52	2fd2b7120905d10d3fc0e7d33a57bad4eb3f142c2afb9278f5ff64907ea01db8	<none>	<none>	<none>	<none>	1	0	6	"BODY_DIFF:""_CN7default6<main>Hv"""
Os	129_spawn_future_get	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	22	20	0	47c7559c3a8452e1faa88d37a9e88c4719fb825a5be5a27682407c4b0dd5e2ef	b7d694819cffbae730df93b15b8adbac660486b5794cde2af70201e871445279	64587307eca263eebbb2792b023a62b03a89b8d42ae23d9383ad88a1509d2f29	65d3e9194b9d87b67a65c7a93f758264008a6861efa29e590b43e3ff41b13728	<none>	<none>	<none>	<none>	2	0	0	"BODY_DIFF:""0_for_keeping_some_types"""
Os	12_str_interp	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	17	7	f2a7fc38dac0d54b0e7704fc4ead94f8df840fd880dc9ee9382443b2eedaaca6	528d2fd17935f7a7fe92900a241a11230242457548209b55994fe1d496945ce7	fb4ff5512514315232250092c0e898a302969f5f016a2e4f4814b8d8e6a211ff	4265c601e082c650a81f3f41e072c85cf5047083ebee17756f0560db724ecb9d	<none>	<none>	<none>	<none>	1	0	7	"BODY_DIFF:""0_for_keeping_some_types"""
Os	130_spawn_capture_future_get	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	22	20	0	9f4d87e6511642fd71dbbe369b98a421b56d7657156d6cc7b5ed7a857a7ccb77	d7becc38841e4e7833656a6f08af3fc171802efd6e333501bc9433e1a81438b0	8033af8d97596fcd46b5a7e7a5f55a0d91323c5aeb9b5b3d7c091e787ad68cd9	7b694b906b4f683688c83c88b373fdede7028d0220e21ed09e7f6d90b3554223	<none>	<none>	<none>	<none>	2	0	0	"BODY_DIFF:""0_for_keeping_some_types"""
