category	status	severity	package	symbol	score	cpp_anchor	selfhost_anchor	cpp_br	cpp_lp	cpp_ret	cj_br	cj_lp	cj_ret	missing_calls
flow	retained	P2	chir	TranslateClassLikeDecl	13	CHIR/AST2CHIR/TranslateASTNode/TranslateClassDecl.cpp:48	chir/src/Translator.cj:2553	8	1	0	5	1	0	AddMemberPropDecl, AddMemberVarDecl, Set, SetClassImplementedInterface, TranslateClassLikeMemberFuncDecl
flow	retained	P2	chir	TranslateStructOrClassCtorCall	13	CHIR/AST2CHIR/TranslateASTNode/TranslateCallExpr.cpp:1143;CHIR/AST2CHIR/TranslateASTNode/TranslateCallExpr.cpp:717	chir/src/Translator.cj:6996	3	0	3	3	1	2	GetMemberFuncParamAndRetInstTypes, GetResult, GetSymbolTable, GetType, IsSuperOrThisCall, Set, TranslateFuncArgs
flow	retained	P2	chir	TranslateStructOrClassCtorCallAsLeftValue	13	CHIR/AST2CHIR/TranslateASTNode/TranslateCallExpr.cpp:666	chir/src/Translator.cj:7602	5	0	6	1	1	1	GetMemberFuncParamAndRetInstTypes, GetSymbolTable, GetType, TestAttr, TranslateFuncArgs
flow	retained	P2	chir	TranslateVArrayAssign	13	CHIR/AST2CHIR/TranslateASTNode/TranslateAssignExpr.cpp:257;CHIR/AST2CHIR/TranslateASTNode/TranslateAssignExpr.cpp:31	chir/src/Translator.cj:7500	5	0	2	4	0	1	CreateAndAppendVArraySet, CreateGetElementRefWithPath, GetResult, OverloadableExprMayThrowException, TranslateExprArg, TranslateLocation
flow	retained	P2	chir	CheckCustomTypeDef	12	CHIR/Checker/CHIRChecker.cpp:1186	chir/src/CHIRChecker.cj:555	2	2	1	1	1	1	CheckVTable, GetClassDef, GetIdentifier, GetImplementedInterfaceTys, ToString
flow	retained	P2	chir	CheckVArrayType	12	CHIR/AST2CHIR/AST2CHIRChecker.cpp:173;CHIR/AST2CHIR/AST2CHIRChecker.cpp:212;Parse/ASTChecker.cpp:768	chir/src/AST2CHIRChecker.cj:180;parse/src/ASTChecker.cj:992	4	0	3	2	0	2	CheckVArrayWithRefType, DiagnoseRefactor, IsTyCorrect, Synthesize, ToString
flow	retained	P2	chir	FreeWholePackage	12	CHIR/IR/CHIRContext.cpp:257	chir/src/CHIRContext.cj:450	4	2	0	0	0	0	DeleteAllocatedInstance, DeleteAllocatedTys, DivideArray
flow	new	P2	chir	GenerateConstExpr	12	CHIR/Optimization/ConstPropagation.cpp:122;CHIR/Optimization/RangePropagation.cpp:117	chir/src/ConstPropagation.cj:129	13	0	11	7	0	8	CheckSingleBool, CheckSingleSInt, GetRangeKind
flow	retained	P2	chir	ParsePattern	12	CHIR/AST2CHIR/GlobalDeclAnalysis.cpp:254;Parse/ParsePattern.cpp:22;Parse/ParserImpl.cpp:38	chir/src/FaithfulAST2CHIR.cj:2691;parse/src/ParsePattern.cj:13;parse/src/ParsePattern.cj:9	10	2	8	6	0	9	MakeInvalid, SeeingAny, SeeingContextualKeyword
flow	retained	P2	chir	TranslateMemberFuncCall	12	CHIR/AST2CHIR/TranslateASTNode/TranslateCallExpr.cpp:1153;CHIR/AST2CHIR/TranslateASTNode/TranslateCallExpr.cpp:851	chir/src/Translator.cj:6646	8	0	1	14	0	3	CreateAndAppendApplyCallFromCallExpr, GenerateInvokeCallContext, GetInstCalleeInfoFromMemberAccess, GetInstCalleeInfoFromRefExpr, GetParam, GetSymbolTable, GetTopLevelFunc, IsStruct, TranslateFuncArgs
flow	retained	P2	chir	TranslateSubExprToLoc	12	CHIR/AST2CHIR/TranslateASTNode/Translator.cpp:260;CHIR/AST2CHIR/TranslateASTNode/Translator.cpp:275	chir/src/Translator.cj:5272	10	0	5	8	0	4	GetDebugLocation, GetExpr, GetResult, Set, TranslateSubExprToLoc
flow	retained	P2	chir	TypeIsMatched	12	CHIR/Transformation/GenerateVTable/VTableGenerator.cpp:88;CHIR/Utils/Utils.cpp:1493;CHIR/Utils/Utils.cpp:1533	chir/src/CustomTypeDef.cj:1053	10	2	11	3	1	4	GetCustomTypeDef, IsGeneric
flow	new	P2	chir	AddMemberMethodToCustomTypeDef	11	CHIR/AST2CHIR/TranslateASTNode/TranslateClassDecl.cpp:304	chir/src/Translator.cj:2675	4	3	1	2	0	1	AddMethod, CreateAnnoFactoryFuncsForFuncDecl, GetSymbolTable
flow	retained	P2	chir	CheckConstant	11	CHIR/Checker/CHIRChecker.cpp:3448	chir/src/CHIRChecker.cj:1325	5	0	3	10	0	2	ErrorInExpr, GetResult, GetType, GetValue, IsNullLiteral, OperandNumIsEqual, ToString, TypeCheckError
flow	new	P2	chir	CheckGetRTTIStatic	11	CHIR/Checker/CHIRChecker.cpp:4121	chir/src/CHIRChecker.cj:1713	4	0	2	3	0	2	ErrorInExpr, GetResult, GetType, OperandNumIsEqual, TypeCheckError
flow	retained	P2	chir	CheckStructTuple	11	CHIR/Checker/CHIRChecker.cpp:3611	chir/src/CHIRChecker.cj:1458	2	1	1	5	1	1	ErrorInFunc, GetIdentifier, GetInstantiatedMemberTys, GetResult, GetStructDef, ToString, TypeIsExpected
flow	retained	P2	chir	CheckUnreachableOpAndGenericTyInBG	11	CHIR/Checker/CHIRChecker.cpp:1455	chir/src/CHIRChecker.cj:2470	8	5	0	9	5	0	ErrorInFunc, GenericTypeIsInContainer, GetIdentifier, GetTopLevelFunc, IsLambda, ToString
flow	retained	P2	chir	CollectNestedFunctions	11	CHIR/Transformation/ClosureConversion.cpp:946	chir/src/ClosureConversion.cj:78	4	1	3	1	1	1	CollectNestedLambdaExpr, GetRawMangledName, TestAttr, VisitFuncBlocksInTopoSort
flow	retained	P2	chir	GetInstCalleeInfoFromMemberAccess	11	CHIR/AST2CHIR/TranslateASTNode/TranslateMemberAccess.cpp:269	chir/src/Translator.cj:1558	3	1	1	1	0	1	GetCustomTypeDef, GetExactParentTypeAndFuncType, IsVirtualFuncCall, StripAllRefs
flow	retained	P2	chir	Neg	11	CHIR/Analysis/SInt.cpp:722;CHIR/Analysis/SIntDomain.cpp:339;CHIR/Analysis/SIntDomain.cpp:384	chir/src/SInt.cj:207	9	0	9	0	0	1	FlipAllBits
flow	retained	P2	chir	RunOnBlockGroup	11	CHIR/Transformation/FlatForInExpr.cpp:175;CHIR/Transformation/FlatForInExpr.cpp:207	chir/src/FlatForInExpr.cj:30	2	2	0	1	2	0	FlatternForInExpr, GetBody, GetExpressions, GetLatch, RunOnBlockGroup
flow	retained	P2	chir	TranslateTupleAccess	11	CHIR/AST2CHIR/TranslateASTNode/TranslateSubscriptExpr.cpp:40;CHIR/AST2CHIR/TranslateASTNode/TranslateSubscriptExpr.cpp:50	chir/src/Translator.cj:5825	2	1	1	3	1	1	GetResult, GetType, Set, TestAttr, TranslateExprArg, TranslateLocation
flow	retained	P2	chir	CheckLogicExpression	10	CHIR/Checker/CHIRChecker.cpp:2972	chir/src/CHIRChecker.cj:1156	3	0	0	3	0	0	GetLHSOperand, GetRHSOperand, GetRawExpr, GetResult, GetType
